Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Class
49,0,101,0,46,-30,52,55,2,1
37,0,80,0,20,9,43,59,16,1
49,0,106,-2,50,18,57,57,0,1
42,3,79,4,42,0,37,38,0,1
41,0,80,0,42,10,39,39,0,1
37,0,103,-1,28,0,66,75,8,1
41,0,83,-2,38,-15,42,44,2,1
37,0,77,0,30,-29,40,46,6,1
37,0,79,0,10,25,43,69,26,1
40,0,77,-7,38,0,38,39,2,1
50,4,84,0,50,0,34,35,0,1
37,0,77,3,28,-4,41,49,8,1
37,0,78,0,0,-6,41,78,36,1
43,0,86,1,42,0,43,45,2,1
46,0,82,0,46,14,36,35,0,1
46,0,86,4,46,0,40,39,0,1
38,-5,81,0,38,0,43,42,0,1
47,0,77,-2,46,-4,31,31,0,1
46,0,88,-6,46,0,43,42,0,1
49,3,82,0,46,-4,33,35,2,1
37,0,76,2565,20,0,40,55,16,1
41,0,81,0,38,-14,41,43,2,1
45,0,77,0,44,-5,32,34,2,1
45,0,83,0,44,-16,38,39,2,1
43,2,77,0,42,0,34,36,2,1
47,0,83,-1,46,-2,35,36,0,1
41,0,88,0,42,29,48,47,0,1
37,0,78,0,30,-3,41,47,6,1
41,0,87,4,38,-3,46,48,2,1
38,0,106,0,36,-10,68,69,2,1
37,0,74,0,28,-1,37,46,8,1
41,0,79,0,42,6,38,38,0,1
55,3,83,-1,54,0,28,29,0,1
44,0,86,6,44,0,42,42,0,1
37,0,78,3,30,-7,41,47,6,1
43,-3,79,0,44,19,35,35,0,1
45,0,82,5,44,0,37,38,2,1
37,0,76,0,30,-31,40,45,6,1
37,-1,76,0,38,3,39,37,0,1
37,0,81,0,36,25,43,44,2,1
59,0,86,0,60,2,28,27,0,1
42,5,86,0,42,0,43,44,2,1
46,2,83,0,44,-26,37,39,2,1
44,1,76,0,44,3,31,32,0,1
49,0,81,0,46,-18,33,35,2,1
37,0,93,0,12,0,56,81,24,1
51,1,86,0,50,-10,35,37,2,1
45,-11,81,0,44,0,36,37,2,1
39,0,81,1,38,0,42,43,0,1
45,-1,78,0,46,11,33,32,0,1
37,-2,106,0,34,2,69,72,4,1
37,0,84,0,20,6,47,63,16,1
38,3,76,0,38,0,38,37,0,1
48,1,80,-4,46,0,32,34,2,1
40,5,81,1,38,0,41,43,2,1
37,0,76,5,36,0,39,39,0,1
47,5,84,0,46,0,38,38,0,1
58,0,86,0,56,0,29,30,0,1
42,1,83,0,42,0,40,41,2,1
37,0,79,0,28,-6,42,50,8,1
37,0,81,-7,38,16,43,42,0,1
46,0,87,0,44,-13,41,43,2,1
50,-1,81,-3,50,-4,31,32,0,1
37,0,79,1,12,-1,43,66,24,1
37,0,77,0,12,-1,41,65,24,1
46,0,100,0,44,-11,54,56,2,1
45,0,88,-2,46,22,42,41,0,1
37,0,108,20,28,0,71,79,8,1
37,0,75,0,34,-7,38,41,2,1
38,2,76,0,38,10,38,37,0,1
56,1,87,0,56,16,31,30,0,1
46,5,78,0,46,0,32,32,0,1
37,0,106,0,34,31,69,73,4,1
47,3,90,0,46,0,44,44,0,1
44,2,83,2,44,0,38,39,0,1
51,0,79,0,50,-10,27,30,2,1
43,-1,97,0,44,24,53,53,0,1
39,2,86,0,38,0,47,48,0,1
37,0,76,0,38,6,38,37,0,1
37,-3,81,0,36,-6,44,44,0,1
43,-3,80,-1,42,-4,37,39,2,1
41,0,88,-4,38,0,48,50,2,1
44,0,75,-4,44,11,31,31,0,1
38,3,77,0,36,-18,39,41,2,1
37,0,75,0,20,11,38,54,16,1
57,2,81,-5,56,0,24,24,0,1
45,0,80,-3,44,0,35,36,2,1
41,-2,84,0,38,-23,43,45,2,1
37,0,81,0,28,-14,45,53,8,1
37,0,104,0,18,14,66,86,20,1
56,1,96,0,54,16,40,42,2,1
37,0,94,-7,12,0,57,81,24,1
44,0,85,0,44,16,41,41,0,1
48,0,94,0,50,29,46,45,0,1
47,0,94,5,46,0,47,48,0,1
37,3,82,-5,34,0,45,48,4,1
44,0,79,-5,44,23,36,35,0,1
48,0,88,-3,46,-2,40,42,2,1
37,0,98,7,34,0,61,64,2,1
47,1,80,0,46,0,33,34,0,1
37,0,78,0,8,-6,42,70,28,1
56,0,85,0,56,6,29,28,0,1
51,0,86,0,50,-5,36,37,2,1
54,2,81,-1,54,0,26,26,0,1
43,-3,82,0,42,-23,39,41,2,1
38,0,76,-1,36,-30,38,40,2,1
43,0,83,0,42,-6,40,42,2,1
37,0,79,0,16,27,42,63,22,1
37,-1,76,0,36,-3,39,39,0,1
55,2,83,0,54,0,27,28,2,1
55,4,87,0,54,0,32,33,2,1
46,1,87,0,46,6,41,41,0,1
37,0,94,5,12,0,57,81,24,1
44,0,83,0,44,6,39,39,0,1
37,-1,76,-5,36,-5,39,40,0,1
51,0,84,0,52,3,33,32,0,1
42,0,87,-1,42,-1,45,46,0,1
43,-1,88,0,44,8,45,44,0,1
39,0,84,0,38,0,45,46,0,1
42,0,84,0,42,0,43,43,0,1
53,-1,80,-1,54,-2,27,26,0,1
37,0,80,0,16,-7,43,65,22,1
51,0,87,0,52,3,36,35,0,1
50,2,96,0,50,0,46,47,0,1
59,-2,84,0,60,18,25,24,0,1
37,0,97,0,24,4,60,74,14,1
51,0,77,0,52,24,26,25,0,1
43,2,86,-2,42,0,43,45,2,1
45,0,83,3,44,0,38,39,2,1
41,-5,78,0,42,0,37,37,0,1
37,0,81,0,24,17,44,58,14,1
41,3,76,0,38,-6,35,37,2,1
37,0,75,0,28,-1,38,46,8,1
39,0,81,-3,38,0,42,42,0,1
37,0,76,0,24,-5,40,53,14,1
51,0,88,8,52,14,37,36,0,1
45,-3,88,-7,46,6,42,41,0,1
37,3,75,0,18,-6,38,57,18,1
46,3,79,0,44,-21,33,35,2,1
37,0,95,0,12,-20,58,82,24,1
41,3,83,0,38,-2,42,44,2,1
56,0,92,0,54,5,36,38,2,1
37,0,106,0,34,-15,69,72,4,1
37,-5,97,0,34,3,61,64,2,1
40,2,81,-5,38,0,41,42,2,1
44,4,85,0,42,-20,41,44,2,1
43,0,86,-7,42,0,44,45,2,1
43,3,78,2,42,0,35,37,2,1
55,1,89,0,54,0,34,35,0,1
46,0,86,-1,46,-2,40,39,0,1
50,5,77,-1,50,0,26,28,2,1
41,0,78,0,42,16,37,37,0,1
49,0,88,2,46,-12,40,42,2,1
42,0,88,6,42,0,46,47,0,1
41,0,81,0,42,21,40,39,0,1
37,0,78,0,8,20,42,70,28,1
43,0,79,0,42,-17,35,37,2,1
53,4,78,0,54,11,25,24,0,1
37,-4,92,1,6,0,55,86,32,1
45,3,86,-1,44,0,41,42,2,1
37,0,76,-1,24,6,39,52,14,1
42,-4,79,0,42,0,37,38,2,1
38,3,92,0,26,11,54,66,12,1
37,0,94,0,16,14,57,79,22,1
45,4,92,-1,44,0,47,48,0,1
45,-2,81,0,46,6,35,34,0,1
37,0,93,-2,12,0,55,80,24,1
40,0,77,-1,38,0,37,38,2,1
45,0,77,0,44,-16,31,33,2,1
39,0,76,-2,38,-3,38,37,0,1
41,0,77,3,38,-15,36,39,2,1
43,0,85,2,42,0,42,44,2,1
37,0,77,2,36,9,41,41,0,1
37,0,79,0,20,-24,42,58,16,1
37,0,101,0,28,-8,64,73,8,1
41,-2,83,0,42,9,42,41,0,1
47,0,83,0,46,0,37,37,0,1
37,0,106,-10,28,-4,69,77,8,1
41,0,80,0,42,22,39,39,0,1
37,0,78,0,2,5,42,75,34,1
37,-1,76,0,20,-1,39,55,16,1
41,0,86,-6,42,20,46,45,0,1
40,-5,86,0,38,0,47,48,2,1
43,0,86,0,44,9,43,42,0,1
41,0,83,-4,42,20,42,41,0,1
37,0,97,0,20,15,60,77,16,1
37,0,79,0,30,-4,43,48,6,1
42,2,79,0,42,0,36,37,2,1
53,3,79,0,54,15,26,24,0,1
37,0,97,0,28,-1,60,69,8,1
37,0,79,-4,24,0,42,55,14,1
38,0,106,0,38,7,68,67,0,1
45,-5,81,-2,44,-23,35,37,2,1
47,0,84,0,46,-1,37,37,0,1
45,0,77,0,44,-15,31,33,2,1
37,0,92,2,8,16,54,84,30,1
54,0,77,0,54,0,24,23,0,1
37,0,105,0,36,2,68,69,2,1
49,2,77,0,46,-7,28,30,2,1
41,5,79,0,38,-18,38,41,2,1
39,0,86,0,38,0,47,48,0,1
51,-1,80,0,50,-19,29,31,2,1
42,0,82,0,42,0,40,41,0,1
42,0,86,-1,42,-1,44,45,2,1
37,0,75,0,18,-5,38,57,18,1
37,0,81,0,-4,-30,44,86,42,1
41,-4,76,0,38,-24,35,37,2,1
37,-4,106,0,30,-2377,69,75,6,1
37,2,77,0,-24,-22,40,103,62,1
43,0,88,-2,44,12,44,44,0,1
52,-5,81,0,52,0,29,29,0,1
44,0,85,0,44,6,41,41,0,1
49,0,107,-2,50,0,58,58,0,1
41,-1,84,0,42,10,43,43,0,1
45,-2,108,0,44,0,63,64,0,1
45,0,88,0,44,-6,43,44,2,1
54,-3,78,2,54,0,24,24,0,1
37,0,93,0,12,31,56,81,24,1
49,0,106,2,50,23,58,57,0,1
37,0,78,0,10,1,41,68,26,1
47,1,77,-2,46,0,31,31,0,1
37,0,79,0,34,12,43,46,2,1
49,0,107,0,50,19,58,58,0,1
52,-3,77,0,52,-1,25,26,0,1
55,0,83,-2,54,0,28,28,0,1
49,-1,84,0,50,6,35,35,0,1
65,-2,109,0,64,0,45,45,0,1
37,0,79,-5,26,0,43,54,10,1
37,0,79,0,10,-29,43,69,26,1
40,-2,83,0,38,0,42,44,2,1
46,0,83,-7,46,0,37,37,0,1
37,0,105,-2,20,-1,68,84,16,1
48,0,88,0,46,-8,40,42,2,1
38,2,75,0,38,1,37,36,0,1
41,0,82,0,42,15,41,41,0,1
37,0,77,0,28,26,41,49,8,1
45,0,77,0,46,20,32,31,0,1
37,0,97,0,34,-25,60,64,4,1
57,-2,106,-2,56,0,49,49,0,1
48,3,81,0,46,0,32,34,2,1
68,0,112,0,68,0,44,45,0,1
37,0,105,2,24,26,68,82,14,1
53,0,88,0,52,-30,34,36,2,1
45,0,88,2,44,0,43,44,0,1
46,-5,81,0,46,0,35,34,0,1
62,0,109,0,62,26,48,47,0,1
53,-1,88,0,54,5,35,34,0,1
45,1,87,0,44,0,42,43,2,1
37,0,76,0,24,11,40,53,14,1
56,-1,86,0,56,13,30,29,0,1
49,-2,84,0,50,2,35,35,0,1
46,1,87,0,44,-29,41,43,2,1
58,1,82,0,56,0,24,25,0,1
40,0,77,-5,38,0,38,39,2,1
37,5,108,20,26,0,71,82,12,1
37,0,76,0,24,28,39,53,14,1
50,-4,83,0,50,0,32,33,2,1
45,0,86,-7,46,12,41,40,0,1
41,2,81,0,42,15,39,39,0,1
53,0,84,0,54,3,31,30,0,1
41,0,79,5,42,6,38,38,0,1
37,0,79,0,38,30,41,40,0,1
37,0,83,0,-2,-12,47,86,40,1
57,1,80,-5,56,0,23,23,0,1
43,0,81,-5,42,-1,37,39,2,1
41,1,88,0,42,16,47,47,0,1
46,-2,86,-2,46,0,41,40,0,1
37,3,79,-1,34,-1,42,46,4,1
48,-1,88,0,46,0,39,41,2,1
38,4,79,0,38,18,42,41,0,1
45,0,82,5,44,0,37,38,0,1
37,0,77,0,16,-8,41,62,22,1
43,0,77,-1,42,-6,34,36,2,1
41,8,78,0,42,-15,37,37,0,1
37,0,80,0,26,11,43,54,12,1
37,-1,76,0,34,0,39,43,4,1
37,0,75,0,30,-2,38,44,6,1
42,-1,77,-3,42,-5,35,36,0,1
55,0,88,5,54,0,32,33,2,1
41,1,78,0,42,8,37,37,0,1
37,0,80,0,38,8,43,41,0,1
37,0,104,0,24,6,67,80,14,1
47,0,86,4,46,0,38,39,0,1
37,0,79,0,8,14,42,71,30,1
41,0,76,-4,38,0,35,37,2,1
37,0,80,0,12,1,43,67,24,1
50,0,82,-1,50,0,32,33,2,1
40,0,77,7,38,0,38,39,2,1
51,2,84,0,52,12,33,33,0,1
45,0,84,0,44,-5,39,41,2,1
39,0,77,0,38,0,39,39,0,1
51,-2,77,0,50,-8,27,28,2,1
37,-1,77,0,-24,-18,41,103,62,1
49,0,85,0,50,15,36,36,0,1
37,0,83,0,16,-11,47,68,22,1
45,0,86,0,46,9,40,39,0,1
49,0,87,-6,46,-7,38,41,2,1
37,0,76,0,20,-4,39,55,16,1
37,0,108,0,36,0,71,72,0,1
44,-1,85,0,44,3,41,41,0,1
56,0,107,-4,54,-16,51,53,2,1
38,-2,92,0,24,-11,54,69,14,1
44,0,88,0,44,0,44,44,0,1
37,0,76,-6,36,3,40,40,0,1
43,0,86,5,42,0,43,45,2,1
37,0,79,-5,12,0,42,66,24,1
49,-1,77,0,46,-8,29,31,2,1
46,3,88,0,46,0,42,42,0,1
53,0,88,2,54,27,35,33,0,1
40,1,81,-6,38,0,40,42,2,1
37,0,92,0,20,3,55,71,16,1
37,0,76,0,38,10,39,37,0,1
37,0,97,0,24,-5,60,74,14,1
41,0,87,-5,38,-3,46,48,2,1
37,0,83,0,0,-22,46,83,36,1
37,0,77,0,8,-25,41,70,28,1
45,-5,83,0,44,0,38,39,0,1
37,0,104,4,24,-8,67,81,14,1
44,0,81,0,42,-21,38,40,2,1
46,2,82,-5,46,7,36,35,0,1
46,0,88,0,44,-21,43,44,2,1
56,0,80,0,54,-21,24,26,2,1
57,-1,92,6,56,0,34,35,0,1
41,0,83,3,42,6,41,41,0,1
41,0,87,0,38,-12,46,48,2,1
41,0,86,0,42,2,45,45,0,1
41,-1,81,0,38,-5,41,43,2,1
45,0,88,0,46,21,42,41,0,1
41,-4,77,0,42,9,36,35,0,1
45,-4,87,0,44,0,42,43,2,1
51,3,87,1,52,10,36,35,0,1
49,4,86,0,50,1,37,37,0,1
45,0,92,-3,44,0,48,48,0,1
37,0,104,0,16,-11,66,88,22,1
45,4,76,2,44,0,31,32,2,1
37,0,76,0,24,-7,39,53,14,1
43,0,81,6,42,-7,37,39,2,1
46,2,86,0,46,1,40,39,0,1
53,0,84,0,52,-1,31,32,2,1
37,0,79,0,16,-6,43,64,22,1
56,-2,84,0,56,0,28,28,0,1
41,-2,77,0,38,-14,37,39,2,1
47,-2,84,-4,46,0,37,37,0,1
56,0,82,1,54,-17,26,28,2,1
41,0,76,0,42,25,35,34,0,1
56,0,96,0,54,-9,40,42,2,1
37,0,100,0,30,-17,64,69,6,1
45,-5,88,0,44,-17,42,44,2,1
51,-5,83,0,50,-14,32,34,2,1
45,0,79,0,46,14,33,32,0,1
53,0,78,0,52,-4,25,26,2,1
37,0,77,0,12,3,40,64,24,1
37,0,76,0,30,15,39,45,6,1
37,0,79,0,26,-2,43,54,10,1
37,0,78,0,-2,12,41,81,40,1
39,4,77,2,38,0,38,39,0,1
41,0,80,0,38,-7,39,41,2,1
37,0,78,0,16,21,42,63,22,1
45,0,85,-3,44,0,40,41,2,1
37,0,83,0,18,0,47,65,18,1
37,0,97,0,30,-19,60,66,6,1
49,3,86,0,50,14,38,37,0,1
43,0,75,0,44,11,32,31,0,1
45,0,89,1,44,-18,44,45,2,1
50,3,78,0,50,0,28,29,0,1
56,-5,86,0,56,6,30,29,0,1
37,0,80,1,10,0,43,70,26,1
37,0,78,0,-6,-14,42,86,44,1
37,0,80,-2,20,0,43,59,16,1
37,0,78,0,18,10,42,60,18,1
49,5,80,0,50,31,31,31,0,1
43,0,81,-3,42,-9,37,39,2,1
42,0,80,-2,42,0,38,39,2,1
56,-2,92,0,56,0,35,35,0,1
43,0,79,0,42,-1,36,38,2,1
37,0,77,2,26,-13,41,52,10,1
39,0,79,6,38,0,40,41,0,1
37,0,82,2,20,16,45,61,16,1
49,4,87,0,46,-4,38,41,2,1
57,0,88,0,56,0,31,31,0,1
37,-2,106,-4,36,-7,69,69,0,1
39,0,79,7,38,0,41,41,0,1
37,0,81,0,24,17,44,57,14,1
39,-3,77,-1,38,-2,37,38,0,1
37,0,78,-1,30,20,41,47,6,1
44,0,90,-3,44,2,46,46,0,1
46,0,77,-1,46,1,31,30,0,1
37,0,79,0,12,1,43,66,24,1
47,3,106,0,46,0,59,60,0,1
46,0,84,1,44,-29,38,40,2,1
44,0,87,4,44,0,43,43,0,1
41,1,79,0,42,4,38,37,0,1
37,0,80,0,20,-7,43,59,16,1
45,0,76,0,46,6,31,30,0,1
41,0,87,0,38,-13,46,48,2,1
41,3,82,0,38,-22,41,43,2,1
38,3,94,0,36,0,56,58,2,1
46,1,87,0,46,5,41,41,0,1
37,0,78,0,16,23,42,63,22,1
37,0,77,0,30,-26,41,46,6,1
37,0,94,0,10,27,57,84,26,1
39,2,77,0,38,0,37,38,0,1
44,1,83,6,44,3,40,39,0,1
44,1,85,0,42,-24,41,44,2,1
45,-1,88,0,44,-16,43,44,2,1
50,3,90,0,50,0,41,41,0,1
44,-104,88,0,44,0,44,44,0,1
46,0,84,0,46,18,38,37,0,1
46,0,81,0,46,-3,35,34,0,1
40,0,85,-1,38,0,45,46,2,1
49,0,80,0,46,-6,31,34,2,1
38,5,92,1,10,-6,54,81,28,1
45,-1,79,-1,44,0,34,35,2,1
47,0,75,-2,46,0,28,28,0,1
37,0,83,0,10,-2,46,72,26,1
50,-4,79,3,50,0,28,30,2,1
37,0,94,0,8,-19,57,86,30,1
38,-3,78,0,-2,-5,40,81,40,1
53,-1,81,0,54,5,28,27,0,1
43,0,88,-3,42,0,45,47,2,1
41,1,78,0,42,0,37,37,0,1
41,0,83,3,38,0,42,44,2,1
44,1,81,0,42,-27,37,39,2,1
37,0,104,-2,24,23,67,81,14,1
38,-2,90,0,6,0,52,85,34,1
37,0,79,4,12,0,42,66,24,1
37,0,80,0,30,-30,43,49,6,1
46,0,93,0,44,-24,48,50,2,1
37,3,79,0,-6,0,42,86,44,1
37,0,106,0,34,-7,69,72,4,1
49,0,88,0,50,18,40,39,0,1
37,0,77,0,26,6,41,52,10,1
44,0,79,0,44,12,35,35,0,1
43,0,85,1,44,8,42,41,0,1
56,0,82,0,56,8,26,25,0,1
37,0,78,0,10,-22,41,68,26,1
54,-2,86,0,54,0,33,32,0,1
41,0,81,8,42,1,39,39,0,1
37,0,77,4,28,-5,41,49,8,1
37,0,80,0,18,3,43,62,18,1
37,0,107,3,36,0,70,71,0,1
38,0,80,0,36,-17,42,44,2,1
44,-4,77,0,44,21,33,33,0,1
37,0,79,0,30,0,43,48,6,1
47,0,84,1,46,0,37,38,0,1
46,5,76,0,46,1,29,29,0,1
44,0,80,-7,44,5,36,36,0,1
50,-5,90,0,50,0,39,41,2,1
44,1,80,0,44,11,36,36,0,1
45,-2,83,0,46,12,37,36,0,1
45,0,83,1,44,-6,37,39,2,1
39,-5,78,0,-2,-21,39,81,42,1
51,0,81,0,50,-14,30,32,2,1
43,0,81,0,44,20,38,37,0,1
37,0,79,0,36,31,41,43,2,1
37,3,77,0,36,10,40,41,0,1
37,0,76,-2,36,0,39,40,2,1
51,-4,87,0,50,-8,36,38,2,1
43,0,75,0,42,-19,32,34,2,1
37,0,76,-3,28,-2,39,47,8,1
40,2,77,-2,38,0,38,39,2,1
41,4,76,0,38,-27,35,37,2,1
52,4,84,0,52,0,31,32,0,1
37,0,76,0,38,21,39,37,0,1
37,0,75,-1,26,0,38,49,10,1
44,-2,79,0,44,0,36,35,0,1
37,0,76,2,30,31,39,45,6,1
43,0,76,0,42,-18,33,35,2,1
37,0,79,0,26,-14,43,54,10,1
37,0,103,0,34,1,66,69,4,1
46,-4,75,0,46,0,29,28,0,1
43,-5,79,-1,42,4,36,38,2,1
56,0,86,0,56,19,31,30,0,1
56,1,81,0,54,-5,25,27,2,1
37,0,90,0,30,15,53,59,6,1
68,0,111,-3,68,0,43,44,0,1
37,0,106,575,34,-3,69,72,4,1
37,0,81,8,36,0,44,45,0,1
37,0,77,1,36,17,40,41,0,1
47,0,81,-6,46,0,33,34,0,1
37,0,79,0,30,2,42,48,6,1
48,0,88,0,46,0,40,41,2,1
56,2,92,0,56,9,36,35,0,1
46,-2,109,2,46,0,63,63,0,1
44,0,87,-1,44,1,43,43,0,1
39,0,81,-1,38,-1,43,43,0,1
45,1,108,0,46,23,62,61,0,1
46,5,81,0,44,-24,35,37,2,1
37,0,77,0,-2,3,41,80,40,1
37,0,108,-7,34,-7,71,74,4,1
55,-3,87,0,54,-3,32,33,2,1
37,-1,79,0,20,-11,42,58,16,1
37,0,81,0,20,-5,44,60,16,1
46,0,88,0,44,-30,43,44,2,1
37,5,75,0,34,2,37,41,4,1
52,1,78,-3,52,0,26,26,0,1
41,1,77,0,42,14,36,36,0,1
43,0,81,3,42,0,37,39,2,1
37,0,78,0,16,16,41,63,22,1
53,0,88,3,52,-15,35,36,2,1
38,0,76,0,36,-16,38,40,2,1
37,0,79,0,10,78,42,69,26,1
55,1,85,0,54,0,30,31,0,1
37,0,77,0,-4,-17,41,83,42,1
51,-1,80,0,50,-10,29,31,2,1
37,0,78,0,16,2,42,63,22,1
37,0,76,0,24,8,40,53,14,1
51,2,79,5,52,9,27,27,0,1
53,5,81,0,54,3,27,26,0,1
56,-4,97,0,54,7,41,42,2,1
55,0,84,0,54,0,28,30,2,1
37,0,77,-2,26,-17,40,51,10,1
37,-2,103,0,34,0,66,69,4,1
37,0,77,0,16,0,40,61,22,1
58,0,85,1,56,0,28,28,0,1
46,3,80,-1,46,0,34,34,0,1
37,0,97,0,20,-23,60,77,16,1
45,0,86,0,44,-25,41,42,2,1
37,0,76,6,28,0,39,48,8,1
56,1,87,4,56,19,31,30,0,1
41,1,77,0,42,11,36,36,0,1
37,0,77,8,38,26,39,38,0,1
37,0,78,0,26,-4,42,52,10,1
48,2,80,-2,46,0,32,34,2,1
41,0,77,-1,38,-8,37,39,2,1
43,0,84,4,42,0,42,43,2,1
42,2,90,0,42,0,48,49,2,1
37,0,80,0,6,-20,43,75,32,1
46,0,83,-3,46,0,36,36,0,1
57,0,92,1,56,0,34,35,0,1
43,0,109,-1,42,-1,66,67,2,1
37,0,76,0,36,13,39,40,2,1
37,-1,79,0,24,0,42,55,14,1
55,0,84,3,54,-1,29,30,0,1
37,0,77,0,16,-8,40,62,22,1
46,0,91,9,46,0,45,44,0,1
46,1,76,0,46,0,29,29,0,1
38,-1,75,0,38,0,37,36,0,1
37,0,105,-1,26,-30,68,79,12,1
37,0,83,8,-2,0,46,85,40,1
51,0,82,1,52,18,31,30,0,1
53,0,86,-2,52,-14,33,35,2,1
48,0,78,1,46,0,30,32,2,1
37,0,106,0,24,-6,69,83,14,1
46,0,89,-7,46,0,43,42,0,1
45,1,78,0,44,-4,33,34,2,1
48,0,86,-6,46,0,38,40,2,1
43,0,86,0,44,11,43,42,0,1
46,0,90,0,46,0,44,43,0,1
51,4,85,0,50,-11,34,36,2,1
42,1,79,2,42,0,37,38,0,1
37,0,79,0,36,3,42,43,2,1
45,0,89,5,44,-12,44,45,2,1
38,0,90,0,38,4,52,51,0,1
41,-1,86,0,42,18,45,44,0,1
51,0,78,0,50,-14,27,29,2,1
50,0,83,2,50,0,33,34,2,1
37,0,76,-2,30,-22,39,45,6,1
53,0,88,8,54,0,34,33,0,1
38,0,77,0,38,5,40,39,0,1
37,0,77,3,36,12,40,41,0,1
44,0,76,0,42,-18,32,35,2,1
38,-1,77,0,38,0,39,38,0,1
53,0,87,-1,52,-2,34,35,2,1
37,0,75,0,18,-2,38,57,18,1
42,0,77,-1,42,0,35,36,0,1
56,-3,92,0,56,0,36,35,0,1
44,-1,88,0,44,4,44,44,0,1
44,0,79,-1,42,6,36,38,2,1
49,0,86,0,46,-1,37,39,2,1
49,-3,88,0,46,-30,39,41,2,1
40,4,81,0,38,0,40,42,2,1
37,0,79,4,-2,0,41,81,40,1
46,3,79,0,46,5,34,33,0,1
37,0,82,2,-2,0,45,85,40,1
37,0,83,-7,16,0,46,67,22,1
51,0,78,0,50,-24,27,29,2,1
43,0,83,3,42,0,39,41,2,1
50,0,106,5,50,0,56,57,0,1
37,2,83,8,36,0,45,46,2,1
47,0,77,2,46,0,29,30,0,1
39,0,76,0,38,0,37,37,0,1
49,2,77,0,46,-13,28,30,2,1
56,0,81,4,56,0,24,24,0,1
49,0,82,0,46,-12,33,35,2,1
37,1,79,0,34,10,41,45,4,1
53,-4,84,0,54,0,31,30,0,1
37,0,77,0,18,-12,41,59,18,1
62,0,109,0,60,-12,48,50,2,1
43,0,80,0,44,31,37,36,0,1
45,-1,83,0,44,-24,37,39,2,1
37,0,79,4,2,9,42,76,34,1
45,-4,84,0,44,-17,38,40,2,1
41,-2,108,-1,42,16,67,66,0,1
42,0,84,0,42,0,42,43,0,1
58,0,96,0,56,0,38,39,0,1
37,0,103,0,26,11,66,77,12,1
44,3,79,0,44,9,36,35,0,1
37,0,78,0,10,-6,41,68,26,1
38,0,86,0,38,5,48,47,0,1
37,0,77,0,34,20,40,43,2,1
45,0,86,0,44,-20,41,42,2,1
42,0,79,2,42,0,36,37,2,1
49,0,77,0,46,-20,28,31,2,1
